a,b,c,d,e,f,g,h,i,j,k,l,m
迫田家文書,,,10,名詞,固有名詞,地域,一般,*,*,迫田家文書,*,*
木古内町郷土資料館,,,10,名詞,固有名詞,地域,一般,*,*,木古内町郷土資料館,*,*
知内町郷土資料館,,,10,名詞,固有名詞,地域,一般,*,*,知内町郷土資料館,*,*
厚沢部町郷土資料館,,,10,名詞,固有名詞,地域,一般,*,*,厚沢部町郷土資料館,*,*
八雲町熊石歴史記念館,,,10,名詞,固有名詞,地域,一般,*,*,八雲町熊石歴史記念館,*,*
七飯町歴史館,,,10,名詞,固有名詞,地域,一般,*,*,七飯町歴史館,*,*
勝山館跡ガイダンス施設,,,10,名詞,固有名詞,地域,一般,*,*,勝山館跡ガイダンス施設,*,*
奥尻島津波館,,,10,名詞,固有名詞,地域,一般,*,*,奥尻島津波館,*,*
稲穂ふれあい研修センター　歴史民俗資料展示室,,,10,名詞,固有名詞,地域,一般,*,*,稲穂ふれあい研修センター　歴史民俗資料展示室,*,*
せたな町立大成郷土館,,,10,名詞,固有名詞,地域,一般,*,*,せたな町立大成郷土館,*,*
ピリカ旧石器文化館,,,10,名詞,固有名詞,地域,一般,*,*,ピリカ旧石器文化館,*,*
森町郷土資料室,,,10,名詞,固有名詞,地域,一般,*,*,森町郷土資料室,*,*
北斗市郷土資料館,,,10,名詞,固有名詞,地域,一般,*,*,北斗市郷土資料館,*,*
松前城資料館,,,10,名詞,固有名詞,地域,一般,*,*,松前城資料館,*,*
松前町郷土資料館,,,10,名詞,固有名詞,地域,一般,*,*,松前町郷土資料館,*,*
松前藩屋敷,,,10,名詞,固有名詞,地域,一般,*,*,松前藩屋敷,*,*
開陽丸記念館（開陽丸研修センター）,,,10,名詞,固有名詞,地域,一般,*,*,開陽丸記念館（開陽丸研修センター）,*,*
旧檜山爾志郡役所（江差町郷土資料館）,,,10,名詞,固有名詞,地域,一般,*,*,旧檜山爾志郡役所（江差町郷土資料館）,*,*
縄文文化交流センター,,,10,名詞,固有名詞,地域,一般,*,*,縄文文化交流センター,*,*
箱館奉行所,,,10,名詞,固有名詞,地域,一般,*,*,箱館奉行所,*,*
五稜郭タワー,,,10,名詞,固有名詞,地域,一般,*,*,五稜郭タワー,*,*
函館市北洋資料館,,,10,名詞,固有名詞,地域,一般,*,*,函館市北洋資料館,*,*
北海道立函館美術館,,,10,名詞,固有名詞,地域,一般,*,*,北海道立函館美術館,*,*
土方・啄木浪漫館,,,10,名詞,固有名詞,地域,一般,*,*,土方・啄木浪漫館,*,*
北海道坂本龍馬記念館,,,10,名詞,固有名詞,地域,一般,*,*,北海道坂本龍馬記念館,*,*
箱館高田屋嘉兵衛資料館,,,10,名詞,固有名詞,地域,一般,*,*,箱館高田屋嘉兵衛資料館,*,*
函館市文学館,,,10,名詞,固有名詞,地域,一般,*,*,函館市文学館,*,*
函館市北方民族資料館,,,10,名詞,固有名詞,地域,一般,*,*,函館市北方民族資料館,*,*
市立函館博物館郷土資料館,,,10,名詞,固有名詞,地域,一般,*,*,市立函館博物館郷土資料館,*,*
八雲町郷土資料館・木彫り熊資料館,,,10,名詞,固有名詞,地域,一般,*,*,八雲町郷土資料館・木彫り熊資料館,*,*
市立函館博物館,,,10,名詞,固有名詞,地域,一般,*,*,市立函館博物館,*,*
十兵衛石,,,10,名詞,固有名詞,地域,一般,*,*,十兵衛石,*,*
昇平丸慰霊碑,,,10,名詞,固有名詞,地域,一般,*,*,昇平丸慰霊碑,*,*
夷王山神社（史跡上之国館跡　勝山館跡内）,,,10,名詞,固有名詞,地域,一般,*,*,夷王山神社（史跡上之国館跡　勝山館跡内）,*,*
歴史の道100選「福山街道」,,,10,名詞,固有名詞,地域,一般,*,*,歴史の道100選「福山街道」,*,*
国指定重要文化財　旧笹浪家住宅（土蔵）,,,10,名詞,固有名詞,地域,一般,*,*,国指定重要文化財　旧笹浪家住宅（土蔵）,*,*
上ノ国町指定有形文化財　円空作観音座像（北村地蔵庵）,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　円空作観音座像（北村地蔵庵）,*,*
上ノ国町指定有形文化財　円空作観音座像（木ノ子光明寺）,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　円空作観音座像（木ノ子光明寺）,*,*
上ノ国町指定有形文化財　円空作観音座像（石崎八幡宮）,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　円空作観音座像（石崎八幡宮）,*,*
大滝の古戦場（箱館戦争）,,,10,名詞,固有名詞,地域,一般,*,*,大滝の古戦場（箱館戦争）,*,*
新村久兵衛石碑,,,10,名詞,固有名詞,地域,一般,*,*,新村久兵衛石碑,*,*
逆さ水松,,,10,名詞,固有名詞,地域,一般,*,*,逆さ水松,*,*
首切の松（箱館戦争）,,,10,名詞,固有名詞,地域,一般,*,*,首切の松（箱館戦争）,*,*
神（かん）の道,,,10,名詞,固有名詞,地域,一般,*,*,神（かん）の道,*,*
道指定有形文化財　円空作十一面観音立像（上ノ国観音堂）,,,10,名詞,固有名詞,地域,一般,*,*,道指定有形文化財　円空作十一面観音立像（上ノ国観音堂）,*,*
上ノ国町指定有形文化財　松前平角の墓,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　松前平角の墓,*,*
上ノ国町指定有形文化財　赤門の墓,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　赤門の墓,*,*
国選定登録有形文化財　石崎漁港トンネル,,,10,名詞,固有名詞,地域,一般,*,*,国選定登録有形文化財　石崎漁港トンネル,*,*
上ノ国町指定有形文化財　南條の墓,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　南條の墓,*,*
史跡上之国館跡　花沢館跡,,,10,名詞,固有名詞,地域,一般,*,*,史跡上之国館跡　花沢館跡,*,*
史跡上之国館跡　勝山館跡,,,10,名詞,固有名詞,地域,一般,*,*,史跡上之国館跡　勝山館跡,*,*
史跡上之国館跡　洲崎館跡,,,10,名詞,固有名詞,地域,一般,*,*,史跡上之国館跡　洲崎館跡,*,*
上ノ国町指定有形文化財　清浄寺本堂,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　清浄寺本堂,*,*
道指定有形文化財　砂館神社本殿,,,10,名詞,固有名詞,地域,一般,*,*,道指定有形文化財　砂館神社本殿,*,*
上ノ国町指定有形民俗文化財　円空作観音座像（上ノ国観音堂）,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形民俗文化財　円空作観音座像（上ノ国観音堂）,*,*
荒神堂跡（史跡上之国館跡　勝山館跡内）,,,10,名詞,固有名詞,地域,一般,*,*,荒神堂跡（史跡上之国館跡　勝山館跡内）,*,*
上ノ国町指定有形文化財　円空作観音座像,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　円空作観音座像,*,*
国指定重要文化財　上國寺本堂,,,10,名詞,固有名詞,地域,一般,*,*,国指定重要文化財　上國寺本堂,*,*
上ノ国町指定有形文化財　上ノ國八幡宮本殿,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国町指定有形文化財　上ノ國八幡宮本殿,*,*
国指定重要文化財　旧笹浪家住宅（主屋）,,,10,名詞,固有名詞,地域,一般,*,*,国指定重要文化財　旧笹浪家住宅（主屋）,*,*
東萊小学校跡〜燈明の岳〜,,,10,名詞,固有名詞,地域,一般,*,*,東萊小学校跡〜燈明の岳〜,*,*
知内農業発祥の地〜山田農場跡〜,,,10,名詞,固有名詞,地域,一般,*,*,知内農業発祥の地〜山田農場跡〜,*,*
二本杉（ふたまた杉）,,,10,名詞,固有名詞,地域,一般,*,*,二本杉（ふたまた杉）,*,*
開拓記念碑,,,10,名詞,固有名詞,地域,一般,*,*,開拓記念碑,*,*
重内分校跡地〜無限への可能性〜,,,10,名詞,固有名詞,地域,一般,*,*,重内分校跡地〜無限への可能性〜,*,*
雷公神社,,,10,名詞,固有名詞,地域,一般,*,*,雷公神社,*,*
猫塚,,,10,名詞,固有名詞,地域,一般,*,*,猫塚,*,*
燈明岳,,,10,名詞,固有名詞,地域,一般,*,*,燈明岳,*,*
南部藩兵遭難供養碑,,,10,名詞,固有名詞,地域,一般,*,*,南部藩兵遭難供養碑,*,*
雨石,,,10,名詞,固有名詞,地域,一般,*,*,雨石,*,*
荒神社,,,10,名詞,固有名詞,地域,一般,*,*,荒神社,*,*
姥杉,,,10,名詞,固有名詞,地域,一般,*,*,姥杉,*,*
モニュメント　ふれあい,,,10,名詞,固有名詞,地域,一般,*,*,モニュメント　ふれあい,*,*
春日開拓百年碑,,,10,名詞,固有名詞,地域,一般,*,*,春日開拓百年碑,*,*
人魚姫像,,,10,名詞,固有名詞,地域,一般,*,*,人魚姫像,*,*
上の湯小学校跡記念碑,,,10,名詞,固有名詞,地域,一般,*,*,上の湯小学校跡記念碑,*,*
平和の鐘,,,10,名詞,固有名詞,地域,一般,*,*,平和の鐘,*,*
二宮金次郎像,,,10,名詞,固有名詞,地域,一般,*,*,二宮金次郎像,*,*
八雲神社碑,,,10,名詞,固有名詞,地域,一般,*,*,八雲神社碑,*,*
トコタンの丘碑,,,10,名詞,固有名詞,地域,一般,*,*,トコタンの丘碑,*,*
鶴田知也文学碑,,,10,名詞,固有名詞,地域,一般,*,*,鶴田知也文学碑,*,*
大島鍛歌碑,,,10,名詞,固有名詞,地域,一般,*,*,大島鍛歌碑,*,*
先駆者ウタリ鎮魂之碑,,,10,名詞,固有名詞,地域,一般,*,*,先駆者ウタリ鎮魂之碑,*,*
八雲たつ歌碑,,,10,名詞,固有名詞,地域,一般,*,*,八雲たつ歌碑,*,*
大新小学校跡地,,,10,名詞,固有名詞,地域,一般,*,*,大新小学校跡地,*,*
立岩開拓百年碑,,,10,名詞,固有名詞,地域,一般,*,*,立岩開拓百年碑,*,*
開校七十周年記念碑,,,10,名詞,固有名詞,地域,一般,*,*,開校七十周年記念碑,*,*
鳥獣之碑,,,10,名詞,固有名詞,地域,一般,*,*,鳥獣之碑,*,*
雲石峠碑,,,10,名詞,固有名詞,地域,一般,*,*,雲石峠碑,*,*
開校百周年記念碑,,,10,名詞,固有名詞,地域,一般,*,*,開校百周年記念碑,*,*
健康の碑,,,10,名詞,固有名詞,地域,一般,*,*,健康の碑,*,*
酪農感謝の碑,,,10,名詞,固有名詞,地域,一般,*,*,酪農感謝の碑,*,*
八雲町百年記念塔,,,10,名詞,固有名詞,地域,一般,*,*,八雲町百年記念塔,*,*
八雲開拓百年碑,,,10,名詞,固有名詞,地域,一般,*,*,八雲開拓百年碑,*,*
上の湯中学校統合記念碑,,,10,名詞,固有名詞,地域,一般,*,*,上の湯中学校統合記念碑,*,*
熱田小学校跡記念碑,,,10,名詞,固有名詞,地域,一般,*,*,熱田小学校跡記念碑,*,*
犬魂碑,,,10,名詞,固有名詞,地域,一般,*,*,犬魂碑,*,*
亀塚,,,10,名詞,固有名詞,地域,一般,*,*,亀塚,*,*
八雲町民憲章碑,,,10,名詞,固有名詞,地域,一般,*,*,八雲町民憲章碑,*,*
さらんべ公園碑,,,10,名詞,固有名詞,地域,一般,*,*,さらんべ公園碑,*,*
徳川さんの像,,,10,名詞,固有名詞,地域,一般,*,*,徳川さんの像,*,*
牛乳生産記念子牛像,,,10,名詞,固有名詞,地域,一般,*,*,牛乳生産記念子牛像,*,*
健康之鐘,,,10,名詞,固有名詞,地域,一般,*,*,健康之鐘,*,*
大関開拓記念碑,,,10,名詞,固有名詞,地域,一般,*,*,大関開拓記念碑,*,*
落部土人供養碑,,,10,名詞,固有名詞,地域,一般,*,*,落部土人供養碑,*,*
八雲村開墾碑,,,10,名詞,固有名詞,地域,一般,*,*,八雲村開墾碑,*,*
英霊碑,,,10,名詞,固有名詞,地域,一般,*,*,英霊碑,*,*
久留米小学校跡記念碑,,,10,名詞,固有名詞,地域,一般,*,*,久留米小学校跡記念碑,*,*
角田弟彦歌碑,,,10,名詞,固有名詞,地域,一般,*,*,角田弟彦歌碑,*,*
山越内関所之跡碑,,,10,名詞,固有名詞,地域,一般,*,*,山越内関所之跡碑,*,*
乳牛感謝の碑,,,10,名詞,固有名詞,地域,一般,*,*,乳牛感謝の碑,*,*
二宮金次郎像,,,10,名詞,固有名詞,地域,一般,*,*,二宮金次郎像,*,*
銀婚湯紀念碑,,,10,名詞,固有名詞,地域,一般,*,*,銀婚湯紀念碑,*,*
スコットの墓碑,,,10,名詞,固有名詞,地域,一般,*,*,スコットの墓碑,*,*
青函連絡船殉職者慰霊碑,,,10,名詞,固有名詞,地域,一般,*,*,青函連絡船殉職者慰霊碑,*,*
聖観音の銅像,,,10,名詞,固有名詞,地域,一般,*,*,聖観音の銅像,*,*
函館大火供養碑,,,10,名詞,固有名詞,地域,一般,*,*,函館大火供養碑,*,*
汐干塚,,,10,名詞,固有名詞,地域,一般,*,*,汐干塚,*,*
貞治の碑,,,10,名詞,固有名詞,地域,一般,*,*,貞治の碑,*,*
招魂場之碑,,,10,名詞,固有名詞,地域,一般,*,*,招魂場之碑,*,*
桜の碑,,,10,名詞,固有名詞,地域,一般,*,*,桜の碑,*,*
坂田翁遺徳碑,,,10,名詞,固有名詞,地域,一般,*,*,坂田翁遺徳碑,*,*
大嘗祭昆布供進記念,,,10,名詞,固有名詞,地域,一般,*,*,大嘗祭昆布供進記念,*,*
古松軒古川正辰之碑,,,10,名詞,固有名詞,地域,一般,*,*,古松軒古川正辰之碑,*,*
工業教育発祥之地碑,,,10,名詞,固有名詞,地域,一般,*,*,工業教育発祥之地碑,*,*
行幸記念碑,,,10,名詞,固有名詞,地域,一般,*,*,行幸記念碑,*,*
叶同館阯之碑,,,10,名詞,固有名詞,地域,一般,*,*,叶同館阯之碑,*,*
海陸軍戦死人名碑,,,10,名詞,固有名詞,地域,一般,*,*,海陸軍戦死人名碑,*,*
函館市民運動場記念碑,,,10,名詞,固有名詞,地域,一般,*,*,函館市民運動場記念碑,*,*
斉藤玄の句碑,,,10,名詞,固有名詞,地域,一般,*,*,斉藤玄の句碑,*,*
葛西美能郎の句碑,,,10,名詞,固有名詞,地域,一般,*,*,葛西美能郎の句碑,*,*
故開拓使沖鷹丸船長堀口君貞之碑,,,10,名詞,固有名詞,地域,一般,*,*,故開拓使沖鷹丸船長堀口君貞之碑,*,*
桜之碑,,,10,名詞,固有名詞,地域,一般,*,*,桜之碑,*,*
箱館通貨銭座跡,,,10,名詞,固有名詞,地域,一般,*,*,箱館通貨銭座跡,*,*
どうぶつ慰霊碑,,,10,名詞,固有名詞,地域,一般,*,*,どうぶつ慰霊碑,*,*
孤山堂無外の句碑,,,10,名詞,固有名詞,地域,一般,*,*,孤山堂無外の句碑,*,*
山遊碑,,,10,名詞,固有名詞,地域,一般,*,*,山遊碑,*,*
浅田松翁之碑,,,10,名詞,固有名詞,地域,一般,*,*,浅田松翁之碑,*,*
任所適,,,10,名詞,固有名詞,地域,一般,*,*,任所適,*,*
宮城遙拝之所,,,10,名詞,固有名詞,地域,一般,*,*,宮城遙拝之所,*,*
今上陛下御即位紀念碑,,,10,名詞,固有名詞,地域,一般,*,*,今上陛下御即位紀念碑,*,*
函館公園記,,,10,名詞,固有名詞,地域,一般,*,*,函館公園記,*,*
海山奇勝,,,10,名詞,固有名詞,地域,一般,*,*,海山奇勝,*,*
石川啄木の歌碑,,,10,名詞,固有名詞,地域,一般,*,*,石川啄木の歌碑,*,*
大噴水塔,,,10,名詞,固有名詞,地域,一般,*,*,大噴水塔,*,*
公園由来の碑,,,10,名詞,固有名詞,地域,一般,*,*,公園由来の碑,*,*
老松のいわれ,,,10,名詞,固有名詞,地域,一般,*,*,老松のいわれ,*,*
もりたの池碑,,,10,名詞,固有名詞,地域,一般,*,*,もりたの池碑,*,*
根崎公園碑,,,10,名詞,固有名詞,地域,一般,*,*,根崎公園碑,*,*
見晴公園　台座,,,10,名詞,固有名詞,地域,一般,*,*,見晴公園　台座,*,*
日朝友好の桜,,,10,名詞,固有名詞,地域,一般,*,*,日朝友好の桜,*,*
見晴公園石灯篭　雪見型,,,10,名詞,固有名詞,地域,一般,*,*,見晴公園石灯篭　雪見型,*,*
見晴公園石灯篭　春日型,,,10,名詞,固有名詞,地域,一般,*,*,見晴公園石灯篭　春日型,*,*
見晴公園五重の塔,,,10,名詞,固有名詞,地域,一般,*,*,見晴公園五重の塔,*,*
香雪園のいわれ,,,10,名詞,固有名詞,地域,一般,*,*,香雪園のいわれ,*,*
御親閲記念碑,,,10,名詞,固有名詞,地域,一般,*,*,御親閲記念碑,*,*
明治天皇御名代御差遣之地（側碑）,,,10,名詞,固有名詞,地域,一般,*,*,明治天皇御名代御差遣之地（側碑）,*,*
明治天皇御名代御差遣之地（標柱）,,,10,名詞,固有名詞,地域,一般,*,*,明治天皇御名代御差遣之地（標柱）,*,*
理想郷,,,10,名詞,固有名詞,地域,一般,*,*,理想郷,*,*
男爵薯を讃ふ,,,10,名詞,固有名詞,地域,一般,*,*,男爵薯を讃ふ,*,*
巌谷小波の句碑,,,10,名詞,固有名詞,地域,一般,*,*,巌谷小波の句碑,*,*
一万号記念桜樹碑,,,10,名詞,固有名詞,地域,一般,*,*,一万号記念桜樹碑,*,*
武田斐三郎先生顕彰碑,,,10,名詞,固有名詞,地域,一般,*,*,武田斐三郎先生顕彰碑,*,*
ウイリアム・レニー先生之碑,,,10,名詞,固有名詞,地域,一般,*,*,ウイリアム・レニー先生之碑,*,*
球聖久慈次郎の像,,,10,名詞,固有名詞,地域,一般,*,*,球聖久慈次郎の像,*,*
千代台公園碑,,,10,名詞,固有名詞,地域,一般,*,*,千代台公園碑,*,*
函館市民憲章碑,,,10,名詞,固有名詞,地域,一般,*,*,函館市民憲章碑,*,*
土方歳三最後の地,,,10,名詞,固有名詞,地域,一般,*,*,土方歳三最後の地,*,*
おもちゃの碑,,,10,名詞,固有名詞,地域,一般,*,*,おもちゃの碑,*,*
函館市民憲章碑,,,10,名詞,固有名詞,地域,一般,*,*,函館市民憲章碑,*,*
片平庸人の歌碑,,,10,名詞,固有名詞,地域,一般,*,*,片平庸人の歌碑,*,*
西条八十の歌碑,,,10,名詞,固有名詞,地域,一般,*,*,西条八十の歌碑,*,*
石川啄木像,,,10,名詞,固有名詞,地域,一般,*,*,石川啄木像,*,*
坂本森一之碑,,,10,名詞,固有名詞,地域,一般,*,*,坂本森一之碑,*,*
大森公園　五重の塔,,,10,名詞,固有名詞,地域,一般,*,*,大森公園　五重の塔,*,*
四天王像,,,10,名詞,固有名詞,地域,一般,*,*,四天王像,*,*
鴎島灯台,,,10,名詞,固有名詞,地域,一般,*,*,鴎島灯台,*,*
初代浜田喜一師之像,,,10,名詞,固有名詞,地域,一般,*,*,初代浜田喜一師之像,*,*
石碑「江差追分尺八先覚者　鴎嶋軒小路豊太郎翁之碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「江差追分尺八先覚者　鴎嶋軒小路豊太郎翁之碑」,*,*
石碑「高橋謹斉翁紀念碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「高橋謹斉翁紀念碑」,*,*
石碑「皇太子殿下御婚礼紀念林」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「皇太子殿下御婚礼紀念林」,*,*
（横穴）,,,10,名詞,固有名詞,地域,一般,*,*,（横穴）,*,*
台場跡,,,10,名詞,固有名詞,地域,一般,*,*,台場跡,*,*
台場跡,,,10,名詞,固有名詞,地域,一般,*,*,台場跡,*,*
鳥居跡,,,10,名詞,固有名詞,地域,一般,*,*,鳥居跡,*,*
階段跡,,,10,名詞,固有名詞,地域,一般,*,*,階段跡,*,*
汐見亭跡,,,10,名詞,固有名詞,地域,一般,*,*,汐見亭跡,*,*
北前船の係船跡,,,10,名詞,固有名詞,地域,一般,*,*,北前船の係船跡,*,*
曼荼羅寺,,,10,名詞,固有名詞,地域,一般,*,*,曼荼羅寺,*,*
阿弥陀寺,,,10,名詞,固有名詞,地域,一般,*,*,阿弥陀寺,*,*
檜山神社,,,10,名詞,固有名詞,地域,一般,*,*,檜山神社,*,*
馬頭観音菩薩堂,,,10,名詞,固有名詞,地域,一般,*,*,馬頭観音菩薩堂,*,*
稲荷神社,,,10,名詞,固有名詞,地域,一般,*,*,稲荷神社,*,*
柏森神社,,,10,名詞,固有名詞,地域,一般,*,*,柏森神社,*,*
明治天皇行幸記念碑,,,10,名詞,固有名詞,地域,一般,*,*,明治天皇行幸記念碑,*,*
白雲桜の碑,,,10,名詞,固有名詞,地域,一般,*,*,白雲桜の碑,*,*
樺太引揚者上陸記念碑,,,10,名詞,固有名詞,地域,一般,*,*,樺太引揚者上陸記念碑,*,*
函館市役所阯,,,10,名詞,固有名詞,地域,一般,*,*,函館市役所阯,*,*
武藤善友歌碑,,,10,名詞,固有名詞,地域,一般,*,*,武藤善友歌碑,*,*
ペリー来航百年記念碑（アメリカ水兵の追悼碑）,,,10,名詞,固有名詞,地域,一般,*,*,ペリー来航百年記念碑（アメリカ水兵の追悼碑）,*,*
函館市道路元標,,,10,名詞,固有名詞,地域,一般,*,*,函館市道路元標,*,*
庚申塔,,,10,名詞,固有名詞,地域,一般,*,*,庚申塔,*,*
（石灯籠）,,,10,名詞,固有名詞,地域,一般,*,*,（石灯籠）,*,*
（手水石）,,,10,名詞,固有名詞,地域,一般,*,*,（手水石）,*,*
開陽丸青少年センター,,,10,名詞,固有名詞,地域,一般,*,*,開陽丸青少年センター,*,*
砂山影二の歌碑,,,10,名詞,固有名詞,地域,一般,*,*,砂山影二の歌碑,*,*
北前船飲用の井戸,,,10,名詞,固有名詞,地域,一般,*,*,北前船飲用の井戸,*,*
函港新渠碑,,,10,名詞,固有名詞,地域,一般,*,*,函港新渠碑,*,*
旧賢光稲荷神社,,,10,名詞,固有名詞,地域,一般,*,*,旧賢光稲荷神社,*,*
本多家墓所,,,10,名詞,固有名詞,地域,一般,*,*,本多家墓所,*,*
石碑「畜霊塔」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「畜霊塔」,*,*
大山神社,,,10,名詞,固有名詞,地域,一般,*,*,大山神社,*,*
大谷地速玉稲荷神社,,,10,名詞,固有名詞,地域,一般,*,*,大谷地速玉稲荷神社,*,*
庚申塔,,,10,名詞,固有名詞,地域,一般,*,*,庚申塔,*,*
大円寺,,,10,名詞,固有名詞,地域,一般,*,*,大円寺,*,*
若宮神社,,,10,名詞,固有名詞,地域,一般,*,*,若宮神社,*,*
稲荷大明神　狛犬,,,10,名詞,固有名詞,地域,一般,*,*,稲荷大明神　狛犬,*,*
稲荷大明神,,,10,名詞,固有名詞,地域,一般,*,*,稲荷大明神,*,*
石碑「開拓碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「開拓碑」,*,*
豊丘大神,,,10,名詞,固有名詞,地域,一般,*,*,豊丘大神,*,*
水堀稲荷神社,,,10,名詞,固有名詞,地域,一般,*,*,水堀稲荷神社,*,*
上林福太郎先生像,,,10,名詞,固有名詞,地域,一般,*,*,上林福太郎先生像,*,*
砂坂砂防林,,,10,名詞,固有名詞,地域,一般,*,*,砂坂砂防林,*,*
石碑「恵水農興」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「恵水農興」,*,*
石碑「巴まさり顕彰之碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「巴まさり顕彰之碑」,*,*
石碑「井越和吉翁之碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「井越和吉翁之碑」,*,*
地蔵堂,,,10,名詞,固有名詞,地域,一般,*,*,地蔵堂,*,*
庚申塚,,,10,名詞,固有名詞,地域,一般,*,*,庚申塚,*,*
八幡神社,,,10,名詞,固有名詞,地域,一般,*,*,八幡神社,*,*
川裾神社,,,10,名詞,固有名詞,地域,一般,*,*,川裾神社,*,*
トノマのトンネル,,,10,名詞,固有名詞,地域,一般,*,*,トノマのトンネル,*,*
田沢稲荷神社　鳥居,,,10,名詞,固有名詞,地域,一般,*,*,田沢稲荷神社　鳥居,*,*
田沢稲荷神社,,,10,名詞,固有名詞,地域,一般,*,*,田沢稲荷神社,*,*
八幡神社　鳥居,,,10,名詞,固有名詞,地域,一般,*,*,八幡神社　鳥居,*,*
八幡神社,,,10,名詞,固有名詞,地域,一般,*,*,八幡神社,*,*
岩城神社,,,10,名詞,固有名詞,地域,一般,*,*,岩城神社,*,*
観音寺,,,10,名詞,固有名詞,地域,一般,*,*,観音寺,*,*
大澗稲荷神社,,,10,名詞,固有名詞,地域,一般,*,*,大澗稲荷神社,*,*
愛宕神社,,,10,名詞,固有名詞,地域,一般,*,*,愛宕神社,*,*
旧関川家別荘,,,10,名詞,固有名詞,地域,一般,*,*,旧関川家別荘,*,*
豊川神社,,,10,名詞,固有名詞,地域,一般,*,*,豊川神社,*,*
金剛寺,,,10,名詞,固有名詞,地域,一般,*,*,金剛寺,*,*
石碑「追分祖師　佐之市之碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「追分祖師　佐之市之碑」,*,*
真宗大谷派江差別院　手水石,,,10,名詞,固有名詞,地域,一般,*,*,真宗大谷派江差別院　手水石,*,*
真宗大谷派江差別院,,,10,名詞,固有名詞,地域,一般,*,*,真宗大谷派江差別院,*,*
石碑「奉読詔妙法蓮華経千部供養書写塔」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「奉読詔妙法蓮華経千部供養書写塔」,*,*
常夜灯,,,10,名詞,固有名詞,地域,一般,*,*,常夜灯,*,*
石碑「松沢伊八翁紀念碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「松沢伊八翁紀念碑」,*,*
檜山護国神社,,,10,名詞,固有名詞,地域,一般,*,*,檜山護国神社,*,*
石碑「たま江丸紀念碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「たま江丸紀念碑」,*,*
石碑「正覚院寛保津波の碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「正覚院寛保津波の碑」,*,*
正覚院,,,10,名詞,固有名詞,地域,一般,*,*,正覚院,*,*
石碑「百印百詩」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「百印百詩」,*,*
法華寺　山門,,,10,名詞,固有名詞,地域,一般,*,*,法華寺　山門,*,*
石碑「南無妙法蓮華経」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「南無妙法蓮華経」,*,*
石碑「法華寺寛保津波の碑」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「法華寺寛保津波の碑」,*,*
桜,,,10,名詞,固有名詞,地域,一般,*,*,桜,*,*
法華寺,,,10,名詞,固有名詞,地域,一般,*,*,法華寺,*,*
石碑「江差八勝」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「江差八勝」,*,*
土方歳三嘆きの松,,,10,名詞,固有名詞,地域,一般,*,*,土方歳三嘆きの松,*,*
旧九艘川橋欄干,,,10,名詞,固有名詞,地域,一般,*,*,旧九艘川橋欄干,*,*
江差道路元標,,,10,名詞,固有名詞,地域,一般,*,*,江差道路元標,*,*
江差町会所会館,,,10,名詞,固有名詞,地域,一般,*,*,江差町会所会館,*,*
祠,,,10,名詞,固有名詞,地域,一般,*,*,祠,*,*
横山家,,,10,名詞,固有名詞,地域,一般,*,*,横山家,*,*
石碑「県社姥神大神宮」,,,10,名詞,固有名詞,地域,一般,*,*,石碑「県社姥神大神宮」,*,*
姥神大神宮　鳥居,,,10,名詞,固有名詞,地域,一般,*,*,姥神大神宮　鳥居,*,*
姥神大神宮　手水石,,,10,名詞,固有名詞,地域,一般,*,*,姥神大神宮　手水石,*,*
柾,,,10,名詞,固有名詞,地域,一般,*,*,柾,*,*
姥神大神宮　玉垣,,,10,名詞,固有名詞,地域,一般,*,*,姥神大神宮　玉垣,*,*
姥神大神宮　狛犬,,,10,名詞,固有名詞,地域,一般,*,*,姥神大神宮　狛犬,*,*
